timestamp,x,y,z
2026-06-19T16:00:05.860,-768,576,576
2026-06-19T16:00:06.883,-192,0,960
2026-06-19T16:00:07.907,-192,192,768
2026-06-19T16:00:08.829,768,192,576
2026-06-19T16:00:09.957,576,-192,384
2026-06-19T16:00:10.979,960,-384,384
2026-06-19T16:00:11.697,768,-192,384
2026-06-19T16:00:12.823,768,-192,384
2026-06-19T16:00:13.847,768,-384,384
2026-06-19T16:00:14.871,768,-384,192
2026-06-19T16:00:16.099,576,-384,384
2026-06-19T16:00:17.022,576,-384,384
2026-06-19T16:00:18.045,960,-384,576
2026-06-19T16:00:19.070,768,0,384
2026-06-19T16:00:19.786,768,0,384
2026-06-19T16:00:20.912,576,-192,192
2026-06-19T16:00:21.836,768,-384,384
2026-06-19T16:00:25.316,768,-384,384
2026-06-19T16:00:25.727,768,-384,576
2026-06-19T16:00:25.727,768,-192,384
2026-06-19T16:00:25.728,960,-192,576
2026-06-19T16:00:26.641,960,-192,576
2026-06-19T16:00:27.673,768,-576,576
2026-06-19T16:00:28.798,768,-384,576
2026-06-19T16:00:29.822,576,192,576
2026-06-19T16:00:30.846,576,-192,384
2026-06-19T16:00:31.870,768,-384,384
2026-06-19T16:00:32.791,576,-384,384
2026-06-19T16:00:33.918,768,-384,384
2026-06-19T16:00:35.045,960,-192,384
2026-06-19T16:00:35.864,768,-576,576
2026-06-19T16:00:36.785,768,-192,576
2026-06-19T16:00:37.809,960,-192,768
2026-06-19T16:00:38.732,768,0,576
2026-06-19T16:00:39.857,960,-192,576
2026-06-19T16:00:40.882,768,-384,384
2026-06-19T16:00:41.701,960,-192,384
2026-06-19T16:00:42.931,768,-192,576
2026-06-19T16:00:43.954,960,-192,576
2026-06-19T16:00:44.774,768,-192,384
2026-06-19T16:00:45.798,576,-192,384
2026-06-19T16:00:46.713,768,-576,576
2026-06-19T16:00:47.747,576,-384,576
2026-06-19T16:00:48.869,960,-192,384
2026-06-19T16:00:49.893,768,-192,384
2026-06-19T16:00:50.917,576,-192,384
2026-06-19T16:00:51.942,960,-384,576
2026-06-19T16:00:52.760,768,-384,384
2026-06-19T16:00:53.784,576,-384,576
2026-06-19T16:00:54.911,768,-384,576
2026-06-19T16:00:55.833,768,-384,384
2026-06-19T16:00:56.856,768,-384,384
2026-06-19T16:00:57.854,768,-384,384
2026-06-19T16:00:58.905,768,-192,384
2026-06-19T16:00:59.931,960,-192,384
2026-06-19T16:01:00.953,768,-192,384
2026-06-19T16:01:01.771,768,-192,576
2026-06-19T16:01:02.694,576,-192,384
2026-06-19T16:01:03.820,960,-576,192
2026-06-19T16:01:04.844,960,-192,384
2026-06-19T16:01:05.849,768,-192,576
2026-06-19T16:01:06.790,960,-576,384
2026-06-19T16:01:07.825,576,-384,576
2026-06-19T16:01:08.940,960,-384,576
2026-06-19T16:01:09.965,768,-192,384
2026-06-19T16:01:10.701,960,-192,384
2026-06-19T16:01:11.756,0,192,768
2026-06-19T16:01:12.832,-384,192,768
2026-06-19T16:01:13.856,-576,0,768
2026-06-19T16:01:14.881,0,0,768
2026-06-19T16:01:15.801,-768,576,768
