timestamp,x,y,z
2026-06-19T16:45:51.123,96,64,928
2026-06-19T16:45:51.124,128,96,960
2026-06-19T16:45:51.124,192,96,992
2026-06-19T16:45:51.328,128,96,960
2026-06-19T16:45:51.533,160,96,928
2026-06-19T16:45:51.737,160,96,992
2026-06-19T16:45:51.942,160,96,992
2026-06-19T16:45:52.147,160,96,992
2026-06-19T16:45:52.352,128,96,992
2026-06-19T16:45:52.557,128,64,1056
2026-06-19T16:45:52.761,0,224,704
2026-06-19T16:45:52.966,128,192,640
2026-06-19T16:45:53.123,256,32,1312
2026-06-19T16:45:53.377,96,0,1184
2026-06-19T16:45:53.581,64,224,768
2026-06-19T16:45:53.786,64,160,864
2026-06-19T16:45:53.990,96,64,1312
2026-06-19T16:45:54.195,96,32,1024
2026-06-19T16:45:54.271,96,32,960
2026-06-19T16:45:54.605,96,96,992
2026-06-19T16:45:54.810,96,0,1024
2026-06-19T16:45:55.014,32,32,1024
2026-06-19T16:45:55.219,-64,-192,1216
2026-06-19T16:45:55.426,32,64,1024
2026-06-19T16:45:55.732,0,64,896
2026-06-19T16:45:55.776,0,64,960
2026-06-19T16:45:56.038,288,192,1120
2026-06-19T16:45:56.247,128,320,1024
2026-06-19T16:45:56.404,32,384,896
2026-06-19T16:45:56.757,0,160,992
2026-06-19T16:45:57.062,-64,128,960
2026-06-19T16:45:57.063,0,64,1024
2026-06-19T16:45:57.370,-32,64,928
2026-06-19T16:45:57.678,32,96,960
2026-06-19T16:45:57.678,64,64,992
2026-06-19T16:45:57.881,-64,96,992
2026-06-19T16:45:58.086,0,64,1024
2026-06-19T16:45:58.394,32,0,992
2026-06-19T16:45:58.478,0,64,992
2026-06-19T16:45:58.701,32,192,992
2026-06-19T16:45:58.906,160,-64,992
2026-06-19T16:45:59.110,64,64,1408
2026-06-19T16:45:59.317,192,-32,1152
2026-06-19T16:45:59.520,64,0,800
2026-06-19T16:45:59.725,128,0,832
2026-06-19T16:45:59.930,-64,-64,896
2026-06-19T16:45:59.930,0,32,1120
2026-06-19T16:46:00.135,128,0,960
2026-06-19T16:46:00.339,64,32,1024
2026-06-19T16:46:00.647,64,32,992
2026-06-19T16:46:00.954,0,96,960
2026-06-19T16:46:00.954,0,64,992
2026-06-19T16:46:01.159,128,0,992
2026-06-19T16:46:01.363,96,32,1024
2026-06-19T16:46:01.568,96,0,992
2026-06-19T16:46:01.773,32,-64,1024
2026-06-19T16:46:01.979,-32,-128,1024
2026-06-19T16:46:02.183,-32,-64,1056
2026-06-19T16:46:02.388,64,-64,960
2026-06-19T16:46:02.592,192,-32,992
2026-06-19T16:46:02.797,256,-64,1088
2026-06-19T16:46:03.002,192,96,992
2026-06-19T16:46:03.143,128,96,1024
2026-06-19T16:46:03.412,0,160,1056
2026-06-19T16:46:03.618,64,192,928
2026-06-19T16:46:03.822,64,256,960
2026-06-19T16:46:04.026,64,224,960
2026-06-19T16:46:04.231,192,192,960
2026-06-19T16:46:04.640,192,160,928
2026-06-19T16:46:05.050,192,96,800
2026-06-19T16:46:05.050,128,192,992
2026-06-19T16:46:05.254,160,192,800
2026-06-19T16:46:05.255,192,160,992
2026-06-19T16:46:05.460,160,96,864
2026-06-19T16:46:05.767,96,224,832
2026-06-19T16:46:06.074,160,0,1152
2026-06-19T16:46:06.074,256,-128,1120
2026-06-19T16:46:06.279,192,0,864
2026-06-19T16:46:06.484,96,32,992
2026-06-19T16:46:06.791,128,128,1088
2026-06-19T16:46:07.303,224,96,1056
2026-06-19T16:46:07.303,64,160,1024
2026-06-19T16:46:07.509,64,128,928
2026-06-19T16:46:07.509,160,0,1024
2026-06-19T16:46:07.713,0,128,864
2026-06-19T16:46:08.429,128,160,1024
2026-06-19T16:46:08.429,192,32,1152
2026-06-19T16:46:08.840,96,128,736
2026-06-19T16:46:08.840,160,192,896
2026-06-19T16:46:08.840,288,320,1376
2026-06-19T16:46:08.840,32,128,672
2026-06-19T16:46:09.454,256,288,1024
2026-06-19T16:46:09.760,320,256,1280
2026-06-19T16:46:09.761,128,160,672
2026-06-19T16:46:09.761,160,128,960
2026-06-19T16:46:09.761,320,0,1408
2026-06-19T16:46:10.067,0,96,672
2026-06-19T16:46:10.990,64,288,800
2026-06-19T16:46:10.990,128,160,1088
2026-06-19T16:46:11.604,96,224,640
2026-06-19T16:46:11.604,128,256,960
2026-06-19T16:46:11.604,224,192,992
2026-06-19T16:46:11.604,224,64,1024
2026-06-19T16:46:12.013,160,160,832
2026-06-19T16:46:12.014,288,192,1440
2026-06-19T16:46:12.014,96,160,800
2026-06-19T16:46:12.014,160,224,800
2026-06-19T16:46:12.525,256,224,1536
2026-06-19T16:46:12.832,32,96,672
2026-06-19T16:46:12.833,128,128,928
2026-06-19T16:46:12.833,96,160,1024
2026-06-19T16:46:13.039,128,160,704
2026-06-19T16:46:13.653,64,192,1056
2026-06-19T16:46:13.653,384,192,736
2026-06-19T16:46:13.653,96,160,736
2026-06-19T16:46:14.266,288,352,1056
2026-06-19T16:46:14.344,256,256,960
2026-06-19T16:46:14.345,160,192,704
2026-06-19T16:46:14.345,0,288,1056
2026-06-19T16:46:15.188,224,288,1088
2026-06-19T16:46:15.188,-32,224,768
2026-06-19T16:46:15.701,0,352,896
2026-06-19T16:46:15.701,192,320,1216
2026-06-19T16:46:15.701,192,256,928
2026-06-19T16:46:16.519,192,288,768
2026-06-19T16:46:16.519,256,192,1280
2026-06-19T16:46:16.826,96,128,896
2026-06-19T16:46:16.826,160,192,800
2026-06-19T16:46:16.826,224,192,1344
2026-06-19T16:46:16.826,128,192,736
2026-06-19T16:46:17.236,96,224,864
2026-06-19T16:46:17.236,192,160,992
2026-06-19T16:46:17.236,32,96,608
2026-06-19T16:46:17.851,224,192,1056
2026-06-19T16:46:17.851,0,224,1088
2026-06-19T16:46:18.193,96,192,608
2026-06-19T16:46:18.193,256,128,1088
2026-06-19T16:46:18.197,256,96,1632
2026-06-19T16:46:18.670,0,32,768
2026-06-19T16:46:18.670,64,96,1024
2026-06-19T16:46:18.977,-64,64,1024
2026-06-19T16:46:18.977,-32,96,800
2026-06-19T16:46:19.285,-96,224,992
2026-06-19T16:46:20.104,128,-32,1184
2026-06-19T16:46:20.104,-32,32,896
2026-06-19T16:46:20.104,64,32,992
2026-06-19T16:46:20.105,96,-32,1088
2026-06-19T16:46:20.410,0,32,800
2026-06-19T16:46:20.820,128,160,864
2026-06-19T16:46:20.820,224,0,1280
2026-06-19T16:46:21.230,64,160,768
2026-06-19T16:46:21.230,224,160,960
2026-06-19T16:46:21.641,256,-32,1344
2026-06-19T16:46:21.641,192,160,768
2026-06-19T16:46:22.357,96,192,800
2026-06-19T16:46:22.357,192,192,992
2026-06-19T16:46:22.663,192,-32,1056
2026-06-19T16:46:22.663,128,64,704
2026-06-19T16:46:22.663,256,32,1312
2026-06-19T16:46:22.663,192,32,1152
2026-06-19T16:46:23.380,224,64,960
2026-06-19T16:46:23.687,384,96,1440
2026-06-19T16:46:23.687,192,-32,832
2026-06-19T16:46:23.687,192,256,800
2026-06-19T16:46:23.687,96,32,1376
2026-06-19T16:46:23.687,256,96,864
2026-06-19T16:46:24.598,128,192,960
2026-06-19T16:46:24.813,384,0,1600
2026-06-19T16:46:24.814,96,32,864
2026-06-19T16:46:24.814,192,128,960
2026-06-19T16:46:24.814,256,32,1344
2026-06-19T16:46:25.120,64,96,992
2026-06-19T16:46:25.120,128,160,800
2026-06-19T16:46:25.837,256,96,1024
2026-06-19T16:46:26.350,0,-32,1024
2026-06-19T16:46:26.350,32,32,800
2026-06-19T16:46:26.350,64,64,1568
2026-06-19T16:46:26.350,-128,160,736
2026-06-19T16:46:26.350,96,128,768
2026-06-19T16:46:26.759,0,64,1600
2026-06-19T16:46:26.759,160,-32,1024
2026-06-19T16:46:26.963,224,0,960
2026-06-19T16:46:27.270,160,0,1408
2026-06-19T16:46:27.681,64,128,640
2026-06-19T16:46:27.681,96,128,992
2026-06-19T16:46:27.885,192,-32,1216
2026-06-19T16:46:28.217,-32,64,768
2026-06-19T16:46:28.218,32,96,1184
2026-06-19T16:46:28.602,192,32,1408
2026-06-19T16:46:28.602,64,96,896
2026-06-19T16:46:28.809,64,160,896
2026-06-19T16:46:29.011,224,32,1536
2026-06-19T16:46:29.318,64,32,736
2026-06-19T16:46:29.933,128,64,896
2026-06-19T16:46:29.933,128,0,1152
2026-06-19T16:46:30.343,32,32,704
2026-06-19T16:46:30.343,160,96,992
2026-06-19T16:46:30.649,320,0,1088
2026-06-19T16:46:30.649,256,64,800
2026-06-19T16:46:30.649,192,96,1056
2026-06-19T16:46:30.854,32,96,960
2026-06-19T16:46:31.060,64,96,672
2026-06-19T16:46:31.366,352,-96,1152
2026-06-19T16:46:31.366,128,-96,1024
2026-06-19T16:46:31.673,32,0,864
2026-06-19T16:46:31.878,96,-32,1376
2026-06-19T16:46:32.082,32,0,992
2026-06-19T16:46:32.492,0,64,736
2026-06-19T16:46:32.799,96,32,1056
2026-06-19T16:46:32.799,160,-160,1184
