timestamp,x,y,z
2026-06-19T16:31:01.236,-576,384,768
2026-06-19T16:31:01.236,-768,192,768
2026-06-19T16:31:01.657,-384,384,576
2026-06-19T16:31:01.658,-192,576,1152
2026-06-19T16:31:02.272,-384,768,768
2026-06-19T16:31:02.272,-576,192,576
2026-06-19T16:31:02.272,192,384,576
2026-06-19T16:31:02.272,384,192,1152
2026-06-19T16:31:02.682,192,192,1344
2026-06-19T16:31:02.683,-192,576,1152
2026-06-19T16:31:03.091,-768,576,1344
2026-06-19T16:31:03.091,0,192,960
2026-06-19T16:31:03.501,0,384,960
2026-06-19T16:31:03.501,192,192,960
2026-06-19T16:31:03.808,192,192,960
2026-06-19T16:31:04.115,-384,0,960
2026-06-19T16:31:04.115,192,0,768
2026-06-19T16:31:04.485,192,192,960
2026-06-19T16:31:04.486,0,0,960
2026-06-19T16:31:05.037,0,0,960
2026-06-19T16:31:05.037,0,0,960
2026-06-19T16:31:05.344,0,0,960
2026-06-19T16:31:05.344,0,0,960
2026-06-19T16:31:05.888,192,0,960
2026-06-19T16:31:05.889,0,-192,960
2026-06-19T16:31:06.298,0,0,960
2026-06-19T16:31:06.298,0,0,960
2026-06-19T16:31:06.789,0,-192,960
2026-06-19T16:31:06.789,0,0,960
2026-06-19T16:31:07.187,0,0,960
2026-06-19T16:31:07.188,192,0,960
2026-06-19T16:31:07.374,0,-192,960
2026-06-19T16:31:07.375,0,0,1152
2026-06-19T16:31:08.100,0,0,960
2026-06-19T16:31:08.100,0,0,960
2026-06-19T16:31:08.222,0,0,960
2026-06-19T16:31:08.222,0,0,960
2026-06-19T16:31:08.723,192,0,960
2026-06-19T16:31:08.723,-192,-192,1152
2026-06-19T16:31:09.030,-192,-192,960
2026-06-19T16:31:09.031,0,-192,960
2026-06-19T16:31:09.441,0,-192,768
2026-06-19T16:31:09.441,0,-192,960
2026-06-19T16:31:09.850,0,-192,960
2026-06-19T16:31:09.850,0,-192,768
2026-06-19T16:31:10.259,0,-192,768
2026-06-19T16:31:10.260,0,-192,960
2026-06-19T16:31:10.464,0,-192,960
2026-06-19T16:31:10.874,0,-192,960
2026-06-19T16:31:10.874,0,-192,960
2026-06-19T16:31:10.874,0,-192,960
2026-06-19T16:31:11.283,0,-192,960
2026-06-19T16:31:11.284,192,-192,960
2026-06-19T16:31:11.693,0,-192,960
2026-06-19T16:31:11.694,0,-192,960
2026-06-19T16:31:12.103,0,-192,960
2026-06-19T16:31:12.103,0,-192,960
2026-06-19T16:31:12.512,0,-192,576
2026-06-19T16:31:12.512,0,-192,960
2026-06-19T16:31:12.922,192,-192,1152
2026-06-19T16:31:12.922,192,-192,768
2026-06-19T16:31:13.331,0,-192,1536
2026-06-19T16:31:13.331,192,0,960
2026-06-19T16:31:13.741,0,0,768
2026-06-19T16:31:13.741,0,0,960
2026-06-19T16:31:14.150,-192,0,960
2026-06-19T16:31:14.151,192,-192,960
2026-06-19T16:31:14.560,0,0,960
