timestamp,x,y,z
2026-06-19T15:10:50.031052,768,0,384
2026-06-19T15:10:51.042830,960,0,384
2026-06-19T15:10:51.874376,960,0,384
2026-06-19T15:10:52.843605,960,0,384
2026-06-19T15:10:53.922586,768,-192,384
2026-06-19T15:10:54.946806,768,-192,384
2026-06-19T15:10:55.947849,960,-192,384
2026-06-19T15:10:56.994713,768,-192,384
2026-06-19T15:10:58.019728,768,-192,384
2026-06-19T15:10:59.045214,960,-192,384
2026-06-19T15:11:00.067401,768,-192,384
2026-06-19T15:11:00.886063,768,-192,384
2026-06-19T15:11:01.912998,768,-192,384
2026-06-19T15:11:02.934516,960,-192,384
2026-06-19T15:11:03.958391,960,0,384
2026-06-19T15:11:04.982610,768,0,384
2026-06-19T15:11:06.005949,768,-192,384
2026-06-19T15:11:07.031497,960,-192,384
2026-06-19T15:11:07.849386,960,-192,384
2026-06-19T15:11:08.873583,960,-192,384
2026-06-19T15:11:09.897620,768,0,384
2026-06-19T15:11:10.921731,768,-192,384
2026-06-19T15:11:11.945601,768,-192,576
2026-06-19T15:11:12.969587,768,-192,384
2026-06-19T15:11:13.995465,768,0,384
2026-06-19T15:11:15.017993,960,-192,384
2026-06-19T15:11:15.974558,768,-192,576
2026-06-19T15:11:16.861405,768,0,384
2026-06-19T15:11:17.885415,960,-192,384
2026-06-19T15:11:18.909644,960,-192,384
2026-06-19T15:11:19.934234,-192,-1344,384
2026-06-19T15:11:20.957577,-192,192,768
2026-06-19T15:11:21.981592,-192,384,960
2026-06-19T15:11:23.006867,0,576,768
2026-06-19T15:11:24.029280,-768,-768,384
2026-06-19T15:11:24.849157,1728,-1152,576
2026-06-19T15:11:25.874194,2880,-3072,1152
2026-06-19T15:11:26.896713,1152,-3264,2496
2026-06-19T15:11:27.921687,1344,-2304,1728
2026-06-19T15:11:28.945940,768,-3264,2112
2026-06-19T15:11:29.969696,-768,-576,576
2026-06-19T15:11:30.992970,-192,-384,768
2026-06-19T15:19:29.136613,-576,-192,-768
2026-06-19T15:19:29.958683,-576,-192,-768
2026-06-19T15:19:30.979352,-576,-192,-768
2026-06-19T15:19:32.003680,-576,-192,-960
2026-06-19T15:19:33.027672,-576,-192,-768
2026-06-19T15:19:34.052212,-576,-192,-960
2026-06-19T15:19:35.075909,-576,-192,-960
2026-06-19T15:19:35.895225,-576,-192,-960
2026-06-19T15:19:36.919535,-384,-192,-960
2026-06-19T15:19:37.877716,-576,-192,-960
2026-06-19T15:19:38.908655,-768,0,-768
2026-06-19T15:19:39.991603,-576,0,-960
2026-06-19T15:19:41.015956,-384,-192,-960
2026-06-19T15:19:42.040461,-576,0,-768
2026-06-19T15:19:43.064155,-576,0,-768
2026-06-19T15:19:43.995069,-576,0,-768
2026-06-19T15:19:44.907361,-576,0,-768
2026-06-19T15:19:46.044731,-576,0,-768
2026-06-19T15:19:47.068928,-576,-192,-768
2026-06-19T15:19:47.979719,-576,0,-768
2026-06-19T15:19:49.003934,-576,0,-768
2026-06-19T15:19:50.028197,-768,0,-960
2026-06-19T15:19:51.051893,-576,0,-768
2026-06-19T15:19:52.076661,-576,0,-768
2026-06-19T15:19:52.895636,-576,0,-768
2026-06-19T15:19:53.920483,-576,0,-768
2026-06-19T15:19:54.945519,-576,0,-768
2026-06-19T15:19:55.968728,-768,0,-576
2026-06-19T15:19:56.992670,-768,0,-768
2026-06-19T15:42:55.453138,384,384,768
2026-06-19T15:42:56.127748,384,192,768
2026-06-19T15:42:57.152837,384,384,768
2026-06-19T15:42:58.176223,384,384,768
2026-06-19T15:42:59.314483,384,192,768
2026-06-19T15:43:00.226133,384,192,768
2026-06-19T15:43:01.254670,384,384,768
2026-06-19T15:43:02.068546,384,192,768
2026-06-19T15:43:03.090626,384,384,768
2026-06-19T15:43:04.117372,384,192,768
2026-06-19T15:43:05.167941,384,192,768
2026-06-19T15:43:06.349714,384,192,768
2026-06-19T15:43:07.087643,384,192,768
2026-06-19T15:43:08.119280,384,192,768
2026-06-19T15:43:09.143140,384,384,768
2026-06-19T15:43:10.159563,384,192,768
2026-06-19T15:43:11.182485,384,384,768
2026-06-19T15:43:12.204891,384,384,768
2026-06-19T15:43:13.229562,384,384,768
2026-06-19T15:43:14.326678,384,384,768
2026-06-19T15:43:15.145529,384,192,768
2026-06-19T15:43:16.169630,384,192,768
2026-06-19T15:43:17.193918,384,384,768
2026-06-19T15:43:18.217675,384,192,768
2026-06-19T15:43:19.241882,384,192,768
2026-06-19T15:43:20.246797,384,192,768
2026-06-19T15:43:21.289966,384,384,768
2026-06-19T15:43:22.313760,384,384,768
2026-06-19T15:43:23.132290,384,384,768
2026-06-19T15:43:24.156949,384,384,768
2026-06-19T15:43:25.124144,384,384,768
2026-06-19T15:43:26.204782,384,192,768
2026-06-19T15:43:27.229014,384,384,768
2026-06-19T15:43:28.253749,384,384,768
